,file_path,text,translation-bg,translation-sla,translation-zls
0,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Уважаеми народни представители, добър ден!","Dear MPs, good afternoon!","Ladies and gentlemen, good afternoon!","Dear People's Representatives, good afternoon!"
1,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Моля да се регистрираме.,Please register.,Please sign up.,Please sign up.
2,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Прекратете регистрацията.,Abort registration.,Stop the registration.,Abort registration.
3,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Следваща – 9,15 ч.",Next 9:15 p.m.,Next – 9.15 p.m.,Next — 9:15 p.m.
4,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Открито в 9,20 ч.",Discovered at 9:20 p.m.,Open at 9.20 a.m.,Found at 9:20 p.m.
5,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Режим на регистрация, моля.","Registration mode, please.","Registration mode, please.","Registration mode, please."
6,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Налице е кворум – откривам пленарното заседание.,I shall open the plenary session.,There's a quorum. I'm opening the plenary.,There's a quorum - I'm opening the plenary session.
7,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Уважаеми народни представители, постъпи искане от Президентската администрация за извънреден брой на „Държавен вестник“ в утрешния ден, в който ще бъде обнародван указът за разпускане на 43-ото народно събрание и насрочване на предсрочните парламентарни избори.","Honourable Members of Parliament, there was a request from the President's Administration for an extraordinary number of the Official Journal on the day of tomorrow, which will be published the decree for the dissolution of the 43rd National Assembly and the timing of the early parliamentary elections.","Dear People's Representatives, a request was made by the Presidential Administration for an extraordinary number of the State Gazette on tomorrow, on which an order for the 43rd People's Assembly to be dissolved and for the early parliamentary elections to be scheduled.","Dear People's Representatives, a request has been made by the Presidential Administration for an extraordinary number of State Journals on the morning of which the order to disband the 43rd National Assembly will be reproduced and the early parliamentary elections will be scheduled."
8,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"По тази причина Проектът на програма за работата на Народното събрание е за времето от 25 до 26 януари 2017 г., тъй като последното пленарно заседание за тази легислатура на парламента ще бъде в четвъртък, 26 януари.","For this reason, the draft programme for the work of the National Assembly is for the period from 25 to 26 January 2017, as the last plenary session for this parliamentary legislation will be on Thursday, 26 January.","For this reason, the draft programme for the work of the National Assembly is for the period from 25 to 26 January 2017, as the last plenary meeting for this parliamentary legislation will be held on Thursday, 26 January.","For this reason, the draft programme for the work of the National Assembly is for the period from 25 to 26 January 2017, as the last plenary session for this House legislation will be held on Thursday, 26 January."
9,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,1. Второ гласуване на Законопроекта за изменение и допълнение на Закона за изпълнение на наказанията и задържането под стража.,1. Second vote on the Bill amending and supplementing the Law on the Execution of Punishments and Detention.,1. Second vote of the Bill amending and supplementing the Law on the Enforcement of Penalties and Detention.,1. Second vote of the Law amending and supplementing the Law on the execution of penalties and detention under guard.
10,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Вносител: Министерският съвет.,Importer: Council of Ministers.,Importer: The Council of Ministers.,Importer: Council of Ministers.
11,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,2. Второ гласуване на Законопроекта за изменение и допълнение на Закона за устройство на територията.,2. Second vote on the Draft Law amending and supplementing the Law on Structure in the Area.,2. Second vote of the Draft Law amending and supplementing the Law on Device in the Territory.,2. Second vote of the Law amending and supplementing the Law on Devices in the territory.
