,file_path,text,translation-cs,translation-sla,translation-zlw
0,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,3.,3.,3.,3.
1,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,Návrh zasedacího pořádku poslanců v jednacím sále Poslanecké sněmovny,Proposal for a sitting order of Members in the Chamber of Deputies' Chamber of Deputies,Draft meeting order of Members in the Chamber of Procedure of the Chamber of Members,Proposal for a meeting order of Members in the Chamber of Deputies
2,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,"Podle § 52 odst. 1 našeho jednacího řádu Poslanecká sněmovna schvaluje zasedací pořádek poslanců v jednacím sále Poslanecké sněmovny a byl vám rozdán návrh tak, jak se na něm dohodly jednotlivé poslanecké kluby.","According to Article 52 (2) (a) of the basic Regulation, the Commission considers that the aid is compatible with the internal market under Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) of the Treaty on the Functioning of the European Union. 1 of our Rules of Procedure The Chamber of Deputies approves the sitting arrangements of Members in the Chamber of Deputies' Chamber of Deputies' Chamber of Deputies' Chamber of Deputies' Chamber of Deputies' Chamber of Deputies' Chamber of Deputies, and a proposal has been given to you as agreed upon by the various Members' Clubs.","According to Paragraph 52(a) 1 of our Rules of Procedure, the Chamber of Parliament approves the meeting order of Members in the Chamber of Procedure of the Chamber of Members and you have been presented with a proposal as agreed upon by individual parliamentary clubs.","According to Article 52(2) of CRR, the amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 1000000. 1 of our Rules of Procedure The Chamber of Deputies approves the meetings of Members in the Chamber of Deputies and the proposal has been distributed to you as agreed by the various Members' Clubs."
3,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,Já bych k této věci otevřel rozpravu.,I would like to open a debate on this matter.,I'd open a debate on this.,I would open a debate on this.
4,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,Pan poslanec a předseda klubu ODS Zbyněk Stanjura.,Member and Chairman of the ODS Club Zbyněk Stanjura.,Member of the Council and President of the ODS Zbyniek Stanjura.,Member and Chairman of ODS Zbyněk Stanjur.
5,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,Děkuji za slovo.,Thank you for the floor.,Thank you for your word.,Thank you for your time.
6,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,"Omlouvám se, my navrhujeme ještě v rámci našich míst tři změny.","I'm sorry, we're still proposing three changes within our seats.","I'm sorry, we're still proposing three changes within our seats.","I'm sorry, we're still proposing three changes in our seats."
7,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,Takže já bych je načetl jako pozměňující návrh.,So I would read them as an amendment.,So I would read them as an amendment.,So I would read them as an amendment.
8,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,"Věřím, že mi vyhovíte.",I trust you'll oblige.,I believe you'll do well.,I believe you will.
9,/home/tajak/Parlamint-translation/ParlaMint-CZ/ParlaMint-CZ.conllu/ParlaMint-CZ.conllu/2013/ParlaMint-CZ_2013-12-04-ps2013-002-01-003-003.conllu,"To znamená konkrétně: na místě 162 místo pana poslance Zahradníka pan poslanec Svoboda, na místě 163 místo pana poslance Pospíšila pan poslanec Zahradník a na místě 167 místo pana poslance Svobody pan poslanec Pospíšil.","This means specifically: on the spot 162 instead of Mr Zahradník, Mr Svoboda, on the spot 163 instead of Mr Pospíšil, Mr Zahradník and on the spot 167 instead of Mr Svoboda, Mr Pospíšil.","This means, in particular, that Mr Svoboda, Mr Swoboda, on the spot 162, instead of Mr Gardener, and on the spot 167, Mr Pospíšil, instead of Mr Svoboda.","This means specifically: in the place of 162 Mr Zahradník, Mr Svoboda, in the place of 163 Mr Pospíšil, Mr Zahradník, and in the place of 167 Mr Svoboda, Mr Pospíšil."
