,file_path,text,translation-da,translation-gmq,translation-gem
0,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Mødet er åbnet.,The meeting is open.,The meeting is open.,The meeting is open.
1,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Erhvervsministeren (Brian Mikkelsen) har meddelt mig, at han ønsker i henhold til forretningsordenens § 19, stk. 4, at give Folketinget en skriftlig Redegørelse om Erhvervsfremme og -Støtte.",The Minister for Business (Brian Mikkelsen) has informed me that he wishes to do so in accordance with Article 19 (3) of the Rules of Procedure. 4 to provide Parliament with a written statement on Business Promotion and Support.,"The Minister of Economic Affairs (Brian Mikkelsen) has informed me that he wishes under Section 19 of the Rules of Procedure. 4, to give the Folketing a written statement on business promotion and support.",The Minister of Industry (Brian Mikkelsen) has informed me that he wishes under Section 19 of the Rules of Procedure. 4. to give the Folketing a written statement on promotion and support.
2,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,16).,16).,16).,16).
3,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Eksemplarer vil blive omdelt og redegørelsen vil fremgå af www.folketingstidende.dk.,Copies will be distributed and the statement will appear in www.folktingstidende.dk.,Examples will be distributed and the statement will be made by www.folketingstidende.dk.,Examples will be distributed and the statement will be presented by www.folk etchingstidende.dk.
4,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Det første spørgsmål er til justitsministeren af hr. Lars Aslan Rasmussen.,The first question is to the Minister for Justice by Mr. Lars Aslan Rasmussen.,The first question is to the Minister of Justice. Lars Aslan Rasmussen.,The first question is for the Minister of Justice of Mr. Lars Aslan Rasmussen.
5,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Er vedkommende klar til oplæsning?,Is he ready for reading?,Is he ready for reading?,Is he ready for reading?
6,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Ja, værsgo.","Yeah, go ahead.","Yes, please.","Yeah, go ahead."
7,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Tak.,Thank you.,Thank you.,Thank you.
8,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Hvad agter ministeren at gøre fremadrettet i forhold til, at der endnu engang bliver opfordret til drab på jøder fra en moské i Danmark?",What does the Minister intend to do in the future in relation to another call for the killing of Jews from a mosque in Denmark?,What does the Minister intend to do forward in relation to once again calling for the killing of Jews from a Mosque in Denmark?,What does the Minister intend to do in the future in view of once again being called upon to kill Jews from a mosque in Denmark?
9,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Ministeren.,The minister.,Minister.,Minister.
