,file_path,text,translation-is,translation-gmq,translation-gem
0,/home/tajak/Parlamint-translation/Source-data/ParlaMint-IS.conllu/ParlaMint-IS.conllu/2017/ParlaMint-IS_2017-04-25-59.conllu,"Með bréfi, dagsettu 24. apríl sl., hefur forseti óskað eftir því við stjórnskipunar- og eftirlitsnefnd, samanber ákvæði 8. töluliðar 1. mgr. 13. gr. þingskapa, að hún fjalli um eftirfarandi skýrslur Ríkisendurskoðunar: um mannauðsmál ríkisins – stefnu stjórnvalda og stöðu mannauðsmála ríkisins, um mannauðsmál ríkisins – starfslok ríkisstarfsmanna, um Framkvæmdasýslu ríkisins, um Jöfnunarsjóð sveitarfélaga og eftirlit ríkisins, um samninga um símenntunarmiðstöðvar, um starfsmenntun á framhaldsskólastigi: skipulag og stjórnsýsla og um Ferðamálastofu, um átaksverkefni um tannlækningar fyrir börn tekjulágra forráðamanna.","By letter, dated April 24th, the president has requested this at the Commission and Observation Committee, as per Article 8 of Figure 1. 13th par. Congress on the following reports: on human resources of the state and the state's status, on the human resources of the government, on the human resources of the state's resources of the state, on the administration of the Commission, on the branch funds and the government's surveillance, on contracts for existing education centers, on high-school education: the organization and the management department, the campaign of dental projects for children of low-payers.","By letter dated April 24th, the President has requested it at the Board of Governors and Monitoring Committee, together with the 8th paragraph of the 1st century. 13. gr. Congress that it deals with the following state review reports: on State human resources — policy of government and state human resources; on state human resources — the end of government staff; on State administration; on the National Fund for Rural Development; and State monitoring; on the contracts for vocational training centres; on post-secondary employment: organisation and administration; and on the Finnish Road Safety Office; on dental measures for the children of employed parents.","By letter dated 24 April 2008, the President has requested that the Management and Monitoring Committee, in accordance with the provisions of Section 8 of Section 1. mgr. 13th paragraph Congress, that it deals with the following reports of the State Review: on the State Human Resources – Government and State Human Resources Policy, on the State Human Resources – the end of government staff, on the State Executive Agency, on the State Equalisation Fund and the State Monitoring Agency, on the Agreements on the Centres of Education, on Secondary School Education: Organisation and Administration and on the Tourist Office, on the research projects on dentistry for the children of low-income Presidencies."
1,/home/tajak/Parlamint-translation/Source-data/ParlaMint-IS.conllu/ParlaMint-IS.conllu/2017/ParlaMint-IS_2017-04-25-59.conllu,Virðulegi forseti.,A respectable president.,A respectable president.,Honourable President.
2,/home/tajak/Parlamint-translation/Source-data/ParlaMint-IS.conllu/ParlaMint-IS.conllu/2017/ParlaMint-IS_2017-04-25-59.conllu,Það eru í raun sögulegar blekkingar að halda því fram að verið sé að efla heilbrigðismál í nýrri ríkisfjármálaáætlun sem nú liggur fyrir þinginu.,"In fact, it is a historical deception to argue that health matters are being promoted in a new budget now available for the council.","In fact, it is historically deceiving to argue that health issues are being promoted in a new government programme now before the Congress.","It is, in fact, a historical deception to argue that health is being promoted in a new government - financial plan that is now under way."
3,/home/tajak/Parlamint-translation/Source-data/ParlaMint-IS.conllu/ParlaMint-IS.conllu/2017/ParlaMint-IS_2017-04-25-59.conllu,Raunar eru þessar blekkingar bæði ósvífnar og óásættanlegar.,"In fact, these deceptions are both presumptuous and unacceptable.","In fact, these deceptions are both inviolable and unacceptable.","In fact, these deceptions are both immoderate and unacceptable."
4,/home/tajak/Parlamint-translation/Source-data/ParlaMint-IS.conllu/ParlaMint-IS.conllu/2017/ParlaMint-IS_2017-04-25-59.conllu,Í fyrsta lagi er ekki gerður greinarmunur á útgjöldum sem fara í rekstur og fjárfestingar.,"First, there is no distinction between spending and investments.","First, there is no distinction between expenditure on business and investment.","First, there is no distinction between operating and investing expenses."
5,/home/tajak/Parlamint-translation/Source-data/ParlaMint-IS.conllu/ParlaMint-IS.conllu/2017/ParlaMint-IS_2017-04-25-59.conllu,Í áætluninni er öllu blandað saman og niðurskurður í rekstri falinn í fjárfestingum.,The plan combines everything and cuts into businesses hidden in investments.,The plan mixes everything and cuts in business are included in investments.,The plan combines everything and cuts in business hidden in investments.
6,/home/tajak/Parlamint-translation/Source-data/ParlaMint-IS.conllu/ParlaMint-IS.conllu/2017/ParlaMint-IS_2017-04-25-59.conllu,Talað er um 45 milljarða aukningu í heilbrigðisþjónustu þótt yfir 90% fari í húsbyggingar og innan við 10% upphæðarinnar í rekstur.,"There is an increase of about 45 billion in health care, although more than 90% are involved in construction and less than 10% are involved in business.","There are about 45 billion increases in health care, although more than 90% in residential buildings and less than 10% in business.","A total of 45 billion health care increases are reported, although more than 90% are in residential buildings and less than 10% are in business."
7,/home/tajak/Parlamint-translation/Source-data/ParlaMint-IS.conllu/ParlaMint-IS.conllu/2017/ParlaMint-IS_2017-04-25-59.conllu,Framsetning af þessu tagi er beinlínis gerð í blekkingaskyni.,This type of presentation is designed for deception.,This type of presentation is specifically used for deception.,The representation of this type is made directly for the purpose of deception.
8,/home/tajak/Parlamint-translation/Source-data/ParlaMint-IS.conllu/ParlaMint-IS.conllu/2017/ParlaMint-IS_2017-04-25-59.conllu,Raunar er þetta líka gert í áætluninni þar sem fráleit frammistaða í menntamálum er falin í Húsi íslenskra fræða sem er þörf framkvæmd og löngu tímabær en sannarlega ekki rekstur.,"In fact, this is also being done in the program where educational performance is hidden from the House of Icelandic teachers, who are in need of action and for a long time, but certainly not a business.","In fact, this is also done in the plan, where disrepute of educational performance is hidden in the House of Icelandic instruction needed to be conducted and long - term but certainly not operating.","In fact, this is also done in the program, where aberrations in education are hidden in the House of Icelandic Education, which is needed and long - term but certainly no business."
9,/home/tajak/Parlamint-translation/Source-data/ParlaMint-IS.conllu/ParlaMint-IS.conllu/2017/ParlaMint-IS_2017-04-25-59.conllu,"Hins vegar er það talnaleikurinn allur þar sem 45 milljarðar verða 5,2 í mínus þegar betur er að gáð.","However, it is the complete number game where 45 billion will be in minus 5.2 when you are better checked.","On the other hand, it's the whole number game where 45 billion is going to be 5.2 in the minus when you see better.","On the other hand, it's the whole game of counting, where 45 billion will be minus 5.2 billion when you're more careful."
