,file_path,text,translation-roa,translation-itc,translation-narrativa
0,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Sr.as e Srs. Deputados, Sr.as e Srs. Funcionários, Sr.as e Srs. Jornalistas , está aberta a sessão.","Ladies and gentlemen. Members of the European Parliament, ladies and gentlemen. Officials, ladies and gentlemen. Journalists, the session is open.","Ladies and gentlemen. Ladies and gentlemen, ladies and gentlemen. Officials, ladies and gentlemen. Journalists, the session is open.","Mr. Ladies and gentlemen, Mr. Ladies and gentlemen, Mr. Staff, Mr. Ladies and gentlemen, the sitting"
1,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,Peço aos Srs. Agentes da autoridade para abrirem as galerias.,I ask the gentlemen. Agents of the authority to open the galleries.,I'm asking the ladies. Officers of the authority to open the galleries.,I ask the officers of authority to open the gallery.
2,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Srs. Deputados, o Sr. Secretário Duarte Pacheco vai dar conta duma informação ao Plenário.","Gentlemen. Ladies and gentlemen, Mr Duarte Pacheco will report to the plenary.","Mrs. Ladies and gentlemen, Secretary Duarte Pacheco will report information to the plenary.","Mr. Members, Mr. Secretary Duarte Pacheco will take a look at some information from the Plenary."
3,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Tem a palavra, Sr. Secretário.","You have the floor, Mr. Secretary.","You have the floor, Mr. Secretary.","You have the floor, Mr. Secretary."
4,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Sr. Presidente , Sr.as e Srs. Deputados, informo que o PAN anunciou a retirada do projeto de lei n.º 432 / XIII ( 2 . ª ) — Altera a Lei n.º 112 / 2009 , de 16 de setembro, relativa ao regime jurídico aplicável à prevenção da violência doméstica e proteção e assistência das suas vítimas, pelo que já não consta do guião de votações de hoje.","Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. I would like to inform you that the NAP has announced the withdrawal of Bill No 432 / XIII ( 2. ( a ) — Amend Act No 112 / 2009 of 16 September 2009 on the legal regime applicable to the prevention of domestic violence and the protection and assistance of its victims, which is no longer included in today's voting paper.","Mr. President, ladies and gentlemen. Members, I inform you that the NAP announced the withdrawal of draft law No 432 / XIII ( 2. ( a ) — Alter to Law No 112 / 2009 of 16 September 2009 on the legal regime applicable to the prevention of domestic violence and the protection and assistance of its victims, which is no longer contained in today's vote script.","Mr President, ladies and gentlemen, I am afraid that the PAN has announced the withdrawal of the draft law No 432"
5,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"É tudo, Sr. Presidente .","That's all, Mr. President.","That's all, Mr. President.","That's all, Mr. President."
6,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Srs. Deputados, vamos, então, começar por debater os projetos de resoluçãon.os 658 / XIII ( 2 . ª ) — Recomenda ao Governo a reorganização da rede de gabinetes de atendimento às vítimas de violência doméstica da GNR e da PSP ( CDS-PP ) , 700 / XIII ( 2 . ª ) — Recomenda ao Governo a inclusão dos dados estatísticos sobre violência no namoro no Relatório Anual de Segurança Interna ( PS ) , 705 / XIII ( 2 . ª ) — Recomenda ao Governo que diligencie pelo redimensionamento de pressupostos na aplicação do regime jurídico aplicável à prevenção da violência doméstica e à proteção e assistência das suas vítimas( PAN) , 710 / XIII ( 2 . ª ) — Recomenda a capacitação das forças de segurança para a proteção às vítimas de violência doméstica( BE) e 714 / XIII ( 2 . ª ) — Reforço de medidas que combatem a violência doméstica( Os Verdes) .","Gentlemen. Members, let us then begin by discussing draft resolutions Nos 658 / XIII ( 2. ( a ) — Recommends to the Government the reorganization of the network of care offices for victims of domestic violence of GNR and PSP ( CDS-PP ), 700 / XIII ( 2. ( a ) — Recommends to the Government the inclusion of statistical data on dating violence in the Annual Report on Internal Security ( PS ), 705 / XIII ( 2. ( a ) — Recommends that the Government take steps to resize assumptions in the application of the legal regime applicable to the prevention of domestic violence and the protection and assistance of its victims ( PAN ), 710 / XIII ( 2. ( a ) — Recommends the training of security forces for the protection of victims of domestic violence ( BE) and 714 / XIII ( 2. ( a ) — Strengthening measures to combat domestic violence ( The Greens).","Mrs. Members, let us, then, begin by discussing draft resolutions 658 / XIII ( 2. ( a ) — Recommends to the Government the reorganization of the network of offices to assist victims of domestic violence by GNR and PSP ( CDS-PP ), 700 / XIII ( 2 ). ( a ) — Recommends to the Government the inclusion of statistical data on dating violence in the Annual Internal Security Report ( PS ), 705 / XIII ( 2 ). ( a ) — Recommends that the Government work towards the resizing of assumptions in the application of the legal regime applicable to the prevention of domestic violence and the protection and assistance of its victims ( PAN ), 710 / XIII ( 2 ). ( a ) — Recommends the training of security forces for the protection of victims of domestic violence ( BE) and 714 / XIII ( 2 ). ( a ) — Strengthening measures to combat domestic violence ( The Greens ).","Mrs. Members, I would like to start by reassigning the data on statistical violence against domestic violence and to recommend that"
7,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Para apresentar o projeto de resolução do CDS-PP , tem a palavra a Sr.ª Deputada Vânia Dias da Silva .","To present the draft resolution of the CDS-PP, I give the floor to Mrs Vânia Dias da Silva.","To present the draft resolution of the CDS-PP, Mrs Vania Dias da Silva has the floor.","To present the draft resolution of the CDS-PP, Mrs Vânia Dias da Silva."
8,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Sr. Presidente , Sr.as e Srs. Deputados: O relatório anual da Secretaria-Geral do Ministério da Administração Interna ( SGMAI ) , de 2015 , a propósito da violência doméstica, traz -nos, mais uma vez, dados preocupantes e o mais impressivo dos quais é o facto de, em termos de crimes contra as pessoas, a violência doméstica ser o tipo de crime mais registado, representando 33 % nesta tipologia.","Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. President, Mr. Members: The 2015 annual report of the Secretariat-General of the Ministry of Internal Administration ( SGMAI) on domestic violence brings us again worrying and most impressive data, of which, in terms of crimes against people, domestic violence is the most recorded type of crime, accounting for 33 % in this typology.","Mr. President, ladies and gentlemen. Members: The 2015 Annual Report of the Secretary-General of the Ministry of Internal Administration ( SGMAI ), on domestic violence, brings us once again worrying data and the most impressive of which is the fact that, in terms of crimes against people, domestic violence is the most registered type of crime, representing 33% in this type.","Mr President, ladies and gentlemen, domestic violence is the highest recorded type of crime in the year 2015, and the"
9,/home/tajak/Parlamint-translation/Source-data/ParlaMint-PT.conllu/ParlaMint-PT.conllu/2017/ParlaMint-PT_2017-03-10.conllu,"Os dados de 2016 até agora conhecidos— deverá estar para sair o relatório respetivo, ainda não o conhecemos— relativamente ao primeiro semestre não são nada animadores, pois há também neste domínio um aumento da criminalidade.","The data from 2016 so far known — the respective report should be coming out, we do not know it yet — for the first half of the year are not encouraging at all, as there is also an increase in crime in this area.","The data from 2016 so far known—should be to exit the respective report, we have not yet known it—in relation to the first half of the year are nothing encouraging, because there is also an increase in crime in this area.","The data from the year 2016 to now, which should be to come out of this report, have not yet been revealed, for the first half"
